a,b,la,lb
<http://bk.sport.owl#raffael>,<http://bk.sport.owl#borussia-m\u00F6nchengladbach>,"Raffael"@en,"Borussia M\u00F6nchengladbach"@en
<http://bk.sport.owl#raffael>,<http://bk.sport.owl#borussia-m\u00F6nchengladbach>,"Raffael","Borussia M\u00F6nchengladbach"@en
<http://bk.sport.owl#dusan-stevic>,<http://bk.sport.owl#fk-rad>,"dusan stevic"@en,"FK Rad"@en
<http://bk.sport.owl#jan-matousek>,<http://bk.sport.owl#sk-slavia-prag>,"Jan Matousek"@en,"SK Slavia Prag"@en
<http://bk.sport.owl#jan-matousek>,<http://bk.sport.owl#sk-slavia-prag>,"jan matousek"@en,"SK Slavia Prag"@en
<http://bk.sport.owl#jan-matousek>,<http://bk.sport.owl#1.fk-pribram>,"Jan Matousek"@en,"1.FK Pribram"@en
<http://bk.sport.owl#jan-matousek>,<http://bk.sport.owl#1.fk-pribram>,"jan matousek"@en,"1.FK Pribram"@en
<http://bk.sport.owl#steve-collis>,<http://bk.sport.owl#rochdale-fc>,"Steve Collis"@en,"Rochdale"@en
<http://bk.sport.owl#steve-collis>,<http://bk.sport.owl#rochdale>,"Steve Collis"@en,"Rochdale"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#aston-villa-fc>,"marc albrighton"@en,"Aston Villa"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#aston-villa-fc>,"Marc Albrighton"@en,"Aston Villa"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#aston-villa-fc>,"Albrighton","Aston Villa"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#aston-villa>,"marc albrighton"@en,"Aston Villa"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#aston-villa>,"Marc Albrighton"@en,"Aston Villa"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#aston-villa>,"Albrighton","Aston Villa"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#leicester-city>,"marc albrighton"@en,"Leicester City"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#leicester-city>,"Marc Albrighton"@en,"Leicester City"@en
<http://bk.sport.owl#marc-albrighton>,<http://bk.sport.owl#leicester-city>,"Albrighton","Leicester City"@en
<http://bk.sport.owl#bryan-heynen>,<http://bk.sport.owl#krc-genk>,"bryan heynen"@en,"KRC Genk"@en
<http://bk.sport.owl#bryan-heynen>,<http://bk.sport.owl#krc-genk>,"Bryan Heynen"@en,"KRC Genk"@en
<http://bk.sport.owl#oder>,<http://bk.sport.owl#uc-sampdoria>,"oder","UC Sampdoria"@en
<http://bk.sport.owl#kenny-tete>,<http://bk.sport.owl#olympique-lyon>,"kenny tete"@en,"Olympique Lyon"@en
<http://bk.sport.owl#kenny-tete>,<http://bk.sport.owl#olympique-lyon>,"Kenny Tete"@en,"Olympique Lyon"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#willem-ii-tilburg>,"Vurnon Anita"@en,"Willem II Tilburg"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#willem-ii-tilburg>,"vurnon anita"@en,"Willem II Tilburg"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#willem-ii-tilburg>,"Anita","Willem II Tilburg"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"Vurnon Anita"@en,"Amsterdamsche Football Club Ajax"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"vurnon anita"@en,"Amsterdamsche Football Club Ajax"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"Anita","Amsterdamsche Football Club Ajax"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#newcastle-united>,"Vurnon Anita"@en,"Newcastle United"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#newcastle-united>,"vurnon anita"@en,"Newcastle United"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#newcastle-united>,"Anita","Newcastle United"@en
<http://bk.sport.owl#vurnon-anita>,<http://bk.sport.owl#amsterdamsche-football-club-ajax-fc>,"Vurnon Anita"@en,"Amsterdamsche Football Club Ajax"@en
