a,la
<http://bk.sport.owl#demetri-mitchell>,"Demetri Mitchell"@en
<http://bk.sport.owl#demetri-mitchell>,"demetri mitchell"@en
<http://bk.sport.owl#charalampos-stampoulidis>,"Charalampos Stampoulidis"@en
<http://bk.sport.owl#charalampos-stampoulidis>,"charalampos stampoulidis"@en
<http://bk.sport.owl#ihor-kyriukhantsev>,"ihor kyriukhantsev"@en
<http://bk.sport.owl#stef-peeters>,"Stef Peeters"@en
<http://bk.sport.owl#stef-peeters>,"stef peeters"@en
<http://bk.sport.owl#daniel-raba>,"daniel raba"@en
<http://bk.sport.owl#daniel-raba>,"Daniel Raba"@en
<http://bk.sport.owl#william-menezes>,"william menezes"@en
<http://bk.sport.owl#filip-rogic>,"Filip Rogic"@en
<http://bk.sport.owl#filip-rogic>,"filip rogic"@en
<http://bk.sport.owl#amer-gojak>,"Amer Gojak"@en
<http://bk.sport.owl#amer-gojak>,"amer gojak"@en
<http://bk.sport.owl#justin-mathieu>,"justin mathieu"@en
<http://bk.sport.owl#mats-hummels>,"mats hummels"@en
<http://bk.sport.owl#mats-hummels>,"Mats Hummels"@en
<http://bk.sport.owl#mats-hummels>,"Hummels"
<http://bk.sport.owl#omar-govea>,"Omar Govea"@en
<http://bk.sport.owl#omar-govea>,"omar govea"@en
<http://bk.sport.owl#edouard-mendy>,"Edouard Mendy"@en
<http://bk.sport.owl#edouard-mendy>,"edouard mendy"@en
<http://bk.sport.owl#raphael-varane>,"raphael varane"@en
<http://bk.sport.owl#delano-burgzorg>,"delano burgzorg"@en
<http://bk.sport.owl#delano-burgzorg>,"Delano Burgzorg"@en
<http://bk.sport.owl#ante-kulusic>,"ante kulusic"@en
<http://bk.sport.owl#pajtim-kasami>,"Pajtim Kasami"@en
<http://bk.sport.owl#pajtim-kasami>,"pajtim kasami"@en
<http://bk.sport.owl#andrijano-carapina>,"andrijano carapina"@en
<http://bk.sport.owl#andrijano-carapina>,"Andrijano Carapina"@en
<http://bk.sport.owl#pavel-moulis>,"pavel moulis"@en
<http://bk.sport.owl#pavel-moulis>,"Pavel Moulis"@en
<http://bk.sport.owl#hasan-huseyin-acar>,"hasan huseyin acar"@en
<http://bk.sport.owl#dragos-balauru>,"dragos balauru"@en
<http://bk.sport.owl#ryan-bennett>,"Ryan Bennett"@en
<http://bk.sport.owl#ryan-bennett>,"ryan bennett"@en
<http://bk.sport.owl#ryan-bennett>,"Bennett"
<http://bk.sport.owl#joseph-aidoo>,"Joseph Aidoo"@en
<http://bk.sport.owl#joseph-aidoo>,"joseph aidoo"@en
<http://bk.sport.owl#martin-kostal>,"martin kostal"@en
<http://bk.sport.owl#yekta-kurtulus>,"yekta kurtulus"@en
<http://bk.sport.owl#yekta-kurtulus>,"Yekta Kurtulus"@en
<http://bk.sport.owl#lasse-nielsen>,"Lasse Nielsen"@en
<http://bk.sport.owl#lasse-nielsen>,"lasse nielsen"@en
<http://bk.sport.owl#carlos-fortes>,"Carlos Fortes"@en
<http://bk.sport.owl#carlos-fortes>,"carlos fortes"@en
<http://bk.sport.owl#jean-carlos>,"jean carlos"@en
<http://bk.sport.owl#mikael-uhre>,"mikael uhre"@en
<http://bk.sport.owl#mikael-uhre>,"Mikael Uhre"@en
<http://bk.sport.owl#denis-cheryshev>,"Denis Cheryshev"@en
<http://bk.sport.owl#denis-cheryshev>,"denis cheryshev"@en
<http://bk.sport.owl#denis-cheryshev>,"Cheryshev"
<http://bk.sport.owl#carlos-de-pena>,"carlos de pena"@en
<http://bk.sport.owl#joao-afonso>,"joao afonso"@en
<http://bk.sport.owl#celil-yuksel>,"celil yuksel"@en
<http://bk.sport.owl#nicolas-penneteau>,"Nicolas Penneteau"@en
<http://bk.sport.owl#nicolas-penneteau>,"nicolas penneteau"@en
<http://bk.sport.owl#andrija-vukcevic>,"andrija vukcevic"@en
<http://bk.sport.owl#andrija-vukcevic>,"Andrija Vukcevic"@en
<http://bk.sport.owl#oliver-olsen>,"oliver olsen"@en
<http://bk.sport.owl#calvin-verdonk>,"calvin verdonk"@en
<http://bk.sport.owl#calvin-verdonk>,"Calvin Verdonk"@en
<http://bk.sport.owl#lubambo-musonda>,"lubambo musonda"@en
<http://bk.sport.owl#bryan-verboom>,"Bryan Verboom"@en
<http://bk.sport.owl#bryan-verboom>,"bryan verboom"@en
<http://bk.sport.owl#pontus-kindberg>,"Pontus Kindberg"@en
<http://bk.sport.owl#pontus-kindberg>,"pontus kindberg"@en
<http://bk.sport.owl#ivan-kricak>,"ivan kricak"@en
<http://bk.sport.owl#karim-benzema>,"Karim Benzema"@en
<http://bk.sport.owl#karim-benzema>,"karim benzema"@en
<http://bk.sport.owl#karim-benzema>,"Benzema"
<http://bk.sport.owl#wout-weghorst>,"Wout Weghorst"@en
<http://bk.sport.owl#wout-weghorst>,"wout weghorst"@en
<http://bk.sport.owl#rory-mckenzie>,"Rory McKenzie"@en
<http://bk.sport.owl#rory-mckenzie>,"rory mckenzie"@en
<http://bk.sport.owl#pavel-kaderabek>,"Pavel Kaderabek"@en
<http://bk.sport.owl#pavel-kaderabek>,"pavel kaderabek"@en
<http://bk.sport.owl#kristijan-dobras>,"kristijan dobras"@en
<http://bk.sport.owl#kristijan-dobras>,"Kristijan Dobras"@en
<http://bk.sport.owl#nayair-tiknizyan>,"nayair tiknizyan"@en
<http://bk.sport.owl#kolbeinn-sigthorsson>,"Sigthorsson"
<http://bk.sport.owl#kolbeinn-sigthorsson>,"Kolbeinn Sigthorsson"@en
<http://bk.sport.owl#kolbeinn-sigthorsson>,"Kolbeinn Sigth\u00C3\u00B3rsson"@en
<http://bk.sport.owl#kolbeinn-sigthorsson>,"kolbeinn sigthorsson"@en
<http://bk.sport.owl#slobodan-tedic>,"slobodan tedic"@en
<http://bk.sport.owl#slobodan-tedic>,"Slobodan Tedic"@en
<http://bk.sport.owl#edgar-costa>,"edgar costa"@en
<http://bk.sport.owl#edgar-costa>,"Edgar Costa"@en
<http://bk.sport.owl#martha>,"martha"@en
<http://bk.sport.owl#andrea-fulignati>,"andrea fulignati"@en
<http://bk.sport.owl#andrea-fulignati>,"Andrea Fulignati"@en
<http://bk.sport.owl#rochinha>,"Rochinha"@en
<http://bk.sport.owl#rochinha>,"rochinha"@en
<http://bk.sport.owl#zaydou-youssouf>,"zaydou youssouf"@en
<http://bk.sport.owl#zaydou-youssouf>,"Zaydou Youssouf"@en
<http://bk.sport.owl#chadrac-akolo>,"Chadrac Akolo"@en
<http://bk.sport.owl#chadrac-akolo>,"chadrac akolo"@en
<http://bk.sport.owl#jeremy-grimm>,"jeremy grimm"@en
<http://bk.sport.owl#jean-luc-assoubre>,"jean luc assoubre"@en
<http://bk.sport.owl#john-chibuike>,"john chibuike"@en
<http://bk.sport.owl#kristijan-jakic>,"kristijan jakic"@en
<http://bk.sport.owl#kristijan-jakic>,"Kristijan Jakic"@en
<http://bk.sport.owl#adil-rami>,"Adil Rami"@en
<http://bk.sport.owl#adil-rami>,"adil rami"@en
<http://bk.sport.owl#adil-rami>,"Rami"
<http://bk.sport.owl#dennis-praet>,"Dennis Praet"@en
<http://bk.sport.owl#dennis-praet>,"dennis praet"@en
<http://bk.sport.owl#jan-zidek>,"Jan Zidek"@en
<http://bk.sport.owl#jan-zidek>,"jan zidek"@en
<http://bk.sport.owl#rasmus-nicolaisen>,"rasmus nicolaisen"@en
<http://bk.sport.owl#chico>,"chico"@en
<http://bk.sport.owl#chico>,"Chico"@en
<http://bk.sport.owl#scott-wright>,"scott wright"@en
<http://bk.sport.owl#scott-wright>,"Scott Wright"@en
<http://bk.sport.owl#jules-iloki>,"jules iloki"@en
<http://bk.sport.owl#marc-stendera>,"marc stendera"@en
<http://bk.sport.owl#marc-stendera>,"Stendera"
<http://bk.sport.owl#ivan-djoric>,"Ivan Djoric"@en
<http://bk.sport.owl#ivan-djoric>,"ivan djoric"@en
<http://bk.sport.owl#sean-goss>,"sean goss"@en
<http://bk.sport.owl#antonin-fantis>,"antonin fantis"@en
<http://bk.sport.owl#antonin-fantis>,"Antonin Fantis"@en
<http://bk.sport.owl#adrian-nenita>,"Adrian Nenita"@en
<http://bk.sport.owl#adrian-nenita>,"adrian nenita"@en
<http://bk.sport.owl#sergi-enrich>,"sergi enrich"@en
<http://bk.sport.owl#sergi-enrich>,"Sergi Enrich"@en
<http://bk.sport.owl#sergi-enrich>,"Enrich"
<http://bk.sport.owl#uros-radakovic>,"Uros Radakovic"@en
<http://bk.sport.owl#uros-radakovic>,"uros radakovic"@en
<http://bk.sport.owl#vladan-elesin>,"Vladan Elesin"@en
<http://bk.sport.owl#vladan-elesin>,"vladan elesin"@en
<http://bk.sport.owl#vladimir-radivojevic>,"Vladimir Radivojevic"@en
<http://bk.sport.owl#vladimir-radivojevic>,"vladimir radivojevic"@en
<http://bk.sport.owl#sander-van-de-streek>,"Sander van de Streek"@en
<http://bk.sport.owl#sander-van-de-streek>,"sander van de streek"@en
<http://bk.sport.owl#floriano-vanzo>,"Floriano Vanzo"@en
<http://bk.sport.owl#floriano-vanzo>,"floriano vanzo"@en
<http://bk.sport.owl#kristian-dirks-riis>,"kristian dirks riis"@en
<http://bk.sport.owl#kristian-dirks-riis>,"Kristian Dirks Riis"@en
<http://bk.sport.owl#jakub-povazanec>,"jakub povazanec"@en
<http://bk.sport.owl#jakub-povazanec>,"Jakub Povazanec"@en
<http://bk.sport.owl#ivan-filipovic>,"ivan filipovic"@en
<http://bk.sport.owl#ivan-filipovic>,"Ivan Filipovic"@en
<http://bk.sport.owl#joshua-king>,"joshua king"@en
<http://bk.sport.owl#joshua-king>,"Joshua King"@en
<http://bk.sport.owl#joshua-king>,"King"
<http://bk.sport.owl#stanley-elbers>,"Stanley Elbers"@en
<http://bk.sport.owl#stanley-elbers>,"stanley elbers"@en
<http://bk.sport.owl#leon-musaev>,"leon musaev"@en
<http://bk.sport.owl#amir-saipi>,"amir saipi"@en
<http://bk.sport.owl#selim-ben-djemia>,"selim ben djemia"@en
<http://bk.sport.owl#stefan-milosavljevic>,"Stefan Milosavljevic"@en
<http://bk.sport.owl#stefan-milosavljevic>,"stefan milosavljevic"@en
<http://bk.sport.owl#taras-stepanenko>,"taras stepanenko"@en
<http://bk.sport.owl#taras-stepanenko>,"Taras Stepanenko"@en
<http://bk.sport.owl#bulent-cevahir>,"bulent cevahir"@en
<http://bk.sport.owl#loick-landre>,"loick landre"@en
<http://bk.sport.owl#vasilios-barkas>,"vasilios barkas"@en
<http://bk.sport.owl#vasilios-barkas>,"Vasilios Barkas"@en
<http://bk.sport.owl#cesc-fabregas>,"Cesc F\u00C3\u00A0bregas"@en
<http://bk.sport.owl#cesc-fabregas>,"cesc fabregas"@en
